SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses,
1,Morgan Stanley,Panchakshari Gawai Park,13.10342441,77.57456755,https://maps.app.goo.gl/rmq6WHSKU3rjzN1a9,12,Mar-24,Yelahanka Zone,,BBMP Park,
2,Morgan Stanley,Chowdeshwari Park,13.10221457,77.57380771,https://maps.app.goo.gl/frM83nqgQ1bU9wKH9,8,Mar-24,Yelahanka Zone,,BBMP Park,
3,Morgan Stanley,Kittoor Rani Chennamma Park,13.10150701,77.57305734,https://maps.app.goo.gl/bxaKh9sBbahDLrZL8,20,Mar-24,Yelahanka Zone,,BBMP Park,
4,Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,13.10056634,77.57180071,https://maps.app.goo.gl/JogMUnmFzGk7oGkc6,11,Mar-24,Yelahanka Zone,,BBMP Park,
5,Morgan Stanley,Jhansi Rani Lakshmibai Park,13.10004659,77.57551197,https://maps.app.goo.gl/aPj4N8CK1H2vs4ui9,5,Mar-24,Yelahanka Zone,,BBMP Park,
6,Morgan Stanley,B.M Shrikantaiah Park,13.09971679,77.57217492,https://maps.app.goo.gl/ffMXe4V5HpzSebEV7,23,Mar-24,Yelahanka Zone,,BBMP Park,
7,Morgan Stanley,Dr. Ambedkar Park,13.10218162,77.58605559,https://maps.app.goo.gl/JzNRB14ctLYpSNGK8,15,Mar-24,Yelahanka Zone,,BBMP Park,
8,Morgan Stanley,Shivramkaranth Park,13.1001944,77.57341746,https://maps.app.goo.gl/bEqeeH1qLBH6PyRc9,10,Mar-24,Yelahanka Zone,,BBMP Park,
9,Morgan Stanley,Near Indira Canteen Park(BWSSB),12.99818634,77.76031644,https://maps.app.goo.gl/trMbTuqDGbYeUT1r8,4,Mar-24,Yelahanka Zone,,BWSSB Dept,
10,Morgan Stanley,HMT Children park,13.03335702,77.49988538,https://maps.app.goo.gl/gsnDS2dQpywaMFu97,15,Mar-25,Dasarahalli,,BBMP Park,
11,Morgan Stanley,Geleyara Balaga - play ground,13.07006773,77.50912287,https://maps.app.goo.gl/ThCFnXQrHbafSd1AA,11,Mar-25,Dasarahalli,,BBMP Park,
12,Morgan Stanley,Pipe Line park,13.05997611,77.50763255,https://maps.app.goo.gl/sNXqVbV57RQ7y3e56,5,Mar-25,Dasarahalli,,BBMP Park,
13,Morgan Stanley,Chokkasandra Park,13.04116069,77.51455628,https://maps.app.goo.gl/3aAS2nS43vq4gWR99,14,Mar-25,Dasarahalli,,BBMP Park,
