Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-192,13.09945,77.58318
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-193,13.09924,77.58305
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-194,13.09895,77.58269
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-196,13.09931,77.58297
Morgan Stanley,RTO Office Park,,Yelahanka zone,,,MS-195,13.09899,77.58274
Morgan Stanley,Near Indira Canteen Park(BWSSB),,Yelahanka Zone,,,MS96,12.99837,77.76039
Morgan Stanley,Near Indira Canteen Park(BWSSB),,Yelahanka Zone,,,MS97,12.99842,77.76029
Morgan Stanley,Near Indira Canteen Park(BWSSB),,Yelahanka Zone,,,MS98,12.99839,77.76032
Morgan Stanley,Near Indira Canteen Park(BWSSB),,Yelahanka Zone,,,MS99,12.99839,77.76049
Morgan Stanley,BCMC Layout Park,,RR Nagar Zone,,,MS191,12.88016,77.54903
Morgan Stanley,BCMC Layout Park,,RR Nagar Zone,,,MS192,12.88009,77.54876
Morgan Stanley,BCMC Layout Park,,RR Nagar Zone,,,MS193,12.88009,77.54853
Morgan Stanley,BCMC Layout Park,,RR Nagar Zone,,,MS194,12.88042,77.54862
Morgan Stanley,BCMC Layout Park,,RR Nagar Zone,,,MS195,12.88024,77.54878
Morgan Stanley,BCMC Layout Park 2,,RR Nagar Zone,,,MS182,12.87591,77.54887
Morgan Stanley,BCMC Layout Park 2,,RR Nagar Zone,,,MS183,12.87599,77.54893
Morgan Stanley,BCMC Layout Park 2,,RR Nagar Zone,,,MS184,12.8759,77.54902
Morgan Stanley,BCMC Layout Park 2,,RR Nagar Zone,,,MS185,12.87589,77.54902
Morgan Stanley,BCMC Layout Park 3,,RR Nagar Zone,,,MS186,12.87581,77.54855
Morgan Stanley,BCMC Layout Park 3,,RR Nagar Zone,,,MS187,12.8757,77.54852
